Johnnie Walker Blue Label 40%,Blended Scotch Whisky,97,225,Magnificently powerful and intense. Caramels dried peats elegant cigar smoke seeds scraped from vanilla beans brand new pencils peppercorn coriander seeds and star anise make for a deeply satisfying nosing experience. Silky caramels bountiful fruits of ripe peach stewed apple orange pith and pervasive smoke with elements of burnt tobacco. An abiding finish of smoke dry spices and banoffee pie sweetness. Close to perfection. Editor's Choice
Black Bowmore 1964 vintage 42 year old 40.5%,Single Malt Scotch,97,4500,What impresses me most is how this whisky evolves; it's incredibly complex. On the nose and palate this is a thick viscous whisky with notes of sticky toffee earthy oak fig cake roasted nuts fallen fruit pancake batter black cherry ripe peach dark chocolate-covered espresso bean polished leather tobacco a hint of wild game and lingering leafy damp kiln smoke. Flavors continue on the palate long after swallowing. This is what we all hope for (and dream of) in an older whisky!
Bowmore 46 year old (distilled 1964) 42.9%,Single Malt Scotch,97,13500,There have been some legendary Bowmores from the mid-60s and this is every bit their equal. All of them share a remarkable aroma of tropical fruit which here moves into hallucinatory intensity: guava mango peach pineapple grapefruit. There’s a very light touch of peat smoke more a memory of Islay than the reality. Concentrated; even at low strength the palate is silky heady and haunting and lasts forever in the dry glass. A legend is born. (Eight bottles only for the U.S.) Editor's Choice.
Compass Box The General 53.4%,Blended Malt Scotch Whisky,96,325,With a name inspired by a 1926 Buster Keaton movie only 1698 bottles produced and the news that one of the two batches is more than 30 years old the clues were there that this blend was never going to be cheap. It isn't but it's superb rich in flavor that screams dusty old oak office fresh polish and Sunday church with spices oak dried fruits squiggly raisins and a surprising melting fruit-and-nut dairy chocolate back story.
Chivas Regal Ultis 40%,Blended Malt Scotch Whisky,96,160,Captivating enticing and wonderfully charming this first blended malt from Chivas Regal contains selections of five Speyside malts: Strathisla Longmorn Tormore Allt-a-Bhainne and Braeval. Red apple cherry raspberry fudge peach and mango fruit salad dusting of cinnamon and dry heather sprigs. In essence it’s rich and satisfying with dark vanilla apricot Bourneville-covered Brazil nuts and tangerine smoothed over by caramel and wood spices maltiness and gingersnap biscuits. Quite heavenly. Editor's Choice
Ardbeg Corryvreckan 57.1%,Single Malt Scotch,96,85,Powerful muscular well-textured and invigorating. Even within the realm of Ardbeg this one stands out. The more aggressive notes of coal tar damp kiln anise and smoked seaweed are supported by an array of fruit (black raspberry black cherry plum) dark chocolate espresso molasses bacon fat kalamata olive and warming cinnamon on the finish. Quite stunning!
Gold Bowmore 1964 vintage 42.4% ,Single Malt Scotch,96,6250,Deep gold color. Surprisingly lively on the nose for its age. A complex array of fruit (tangerine sultana pink grapefruit papaya and the general overall citrus DNA that you’ll find in old Bowmores) with balancing notes of honey and vanilla. A hint of damp smoke and coconut. Just like with Black Bowmore this is a texturally soothing whisky on the palate which continues to evolve in waves -- first the sweet honey coating vanilla and lively fruit then turning quite visceral with juicy oak damp earth deep peat smoke and charcoal followed by another wave of fruit (this time dried fruit) finishing off with subtle charred oak and roasted nuts. This whisky is better than White Bowmore and it falls just short of Black Bowmore (which I rated 97) because it’s just a bit softer and less vibrant on the palate.
Bowmore 40 year old 44.8%,Single Malt Scotch,96,11000,Definitely showing its age but not in a bad way — the distillery character is still there. Solid foundation of thick chewy toffee old pot still rum and fig cake. Fruity too with notes of golden raisin and nectarine. Soft seductive peat smoke juicy oak cinnamon and brine round out the palate. Excellent balance! One of the finest Bowmore whiskies I’ve ever tasted (and at this price will probably never taste again.) (Editor's Pick) 
The Dalmore 50 year old 52.8%,Single Malt Scotch,96,1500,The Dalmore is one of a handful of whiskies that seem to be able to age in the cask for many decades and still improve. This one is incredibly viscous on the nose and palate (and very heavy on the tongue) with chewy toffee and old pot still rum. The classic Dalmore marmalade note shines throughout along with vanilla cream an array of dried spices (especially cinnamon and evergreen) juicy oak forest bedding rancio old armagnac polished leather tobacco maple syrup dark chocolate almond macaroon and subtle espresso. Long mouth-coating finish. The flavors evolve like waves lapping on the palate -- especially the interplay with the oak. I can’t drink this whisky slowly enough. A rare experience for the lucky few who can afford it. (Price is per 100ml).
Glenfarclas Family Casks 1954 Cask #1260 47.2%,Single Malt Scotch,96,3360,A rich amber color and elegantly oxidized notes greet you. There are luscious old fruits—pineapple dried peach apricot—and puffs of coal-like smokiness. In time sweet spices (cumin especially) emerge. Superbly balanced. The palate while fragile still has real sweetness alongside a lick of treacle. It can take a drop of water allowing richer darker fruits to emerge. The finish is powerful long and resonant. Superb not over-wooded and a fair price for such a rarity. £1995
